Date,state,tot_cases
2020-01-05,PW,0
2020-01-05,RI,9054
2020-01-05,RMI,0
2020-01-05,SC,6190
2020-01-05,SD,2525
2020-01-05,TN,11808
2020-01-05,TX,29229
2020-01-05,UT,4828
2020-01-05,VA,16901
2020-01-05,VI,66
2020-01-05,VT,809
2020-01-05,WA,14705
2020-01-05,WI,7314
2020-01-05,WV,1151
2020-01-05,WY,566
2020-01-06,AK,470
2020-01-06,AL,18500
2020-01-06,AR,7443
2020-01-06,AS,0
2020-01-06,AZ,20123
2020-01-06,CA,113006
2020-01-06,CO,26913
2020-01-06,CT,42740
2020-01-06,DC,8857
2020-01-06,DE,9809
2020-01-06,FL,55787
2020-01-06,FSM,0
2020-01-06,GA,46501
2020-01-06,GU,175
2020-01-06,HI,645
2020-01-06,IA,19698
2020-01-06,ID,2906
2020-01-06,IL,121234
2020-01-06,IN,34830
2020-01-06,KS,10011
2020-01-06,KY,10445
2020-01-06,LA,40452
2020-01-06,MA,97291
2020-01-06,MD,53327
2020-01-06,ME,2377
2020-01-06,MI,99002
2020-01-06,MN,25208
2020-01-06,MO,14360
2020-01-06,MP,22
2020-01-06,MS,17823
2020-01-06,MT,523
2020-01-06,NC,29462
2020-01-06,ND,2625
2020-01-06,NE,14338
2020-01-06,NH,4685
2020-01-06,NJ,161293
2020-01-06,NM,7800
2020-01-06,NV,8688
2020-01-06,NY,167947
2020-01-06,NYC,207210
2020-01-06,OH,35984
2020-01-06,OK,7493
2020-01-06,OR,4302
2020-01-06,PA,76344
2020-01-06,PR,1333
2020-01-06,PW,0
2020-01-06,RI,14923
2020-01-06,RMI,0
2020-01-06,SC,12419
2020-01-06,SD,5034
2020-01-06,TN,23276
2020-01-06,TX,64880
2020-01-06,UT,10101
2020-01-06,VA,46239
2020-01-06,VI,70
2020-01-06,VT,907
2020-01-06,WA,22032
2020-01-06,WI,18543
2020-01-06,WV,2028
2020-01-06,WY,910
2020-01-07,AK,982
2020-01-07,AL,39583
2020-01-07,AR,21197
2020-01-07,AS,0
2020-01-07,AZ,84114
2020-01-07,CA,232657
2020-01-07,CO,33466
2020-01-07,CT,46572
2020-01-07,DC,10365
2020-01-07,DE,11914
2020-01-07,FL,165462
2020-01-07,FSM,0
2020-01-07,GA,84688
2020-01-07,GU,280
2020-01-07,HI,928
2020-01-07,IA,29458
2020-01-07,ID,6370
2020-01-07,IL,145066
2020-01-07,IN,45952
2020-01-07,KS,14990
2020-01-07,KY,17022
2020-01-07,LA,60178
2020-01-07,MA,103858
2020-01-07,MD,67918
2020-01-07,ME,3328
2020-01-07,MI,126829
2020-01-07,MN,37210
2020-01-07,MO,26303
2020-01-07,MP,30
2020-01-07,MS,33700
2020-01-07,MT,1083
2020-01-07,NC,66834
2020-01-07,ND,3615
2020-01-07,NE,19238
2020-01-07,NH,5802
2020-01-07,NJ,172979
2020-01-07,NM,12276
2020-01-07,NV,19328
2020-01-07,NY,178604
2020-01-07,NYC,218279
2020-01-07,OH,52865
2020-01-07,OK,19847
2020-01-07,OR,8931
2020-01-07,PA,91712
2020-01-07,PR,2008
2020-01-07,PW,0
2020-01-07,RI,16782
2020-01-07,RMI,0
2020-01-07,SC,37671
2020-01-07,SD,6826
2020-01-07,TN,43701
2020-01-07,TX,168062
2020-01-07,UT,23386
2020-01-07,VA,63203
2020-01-07,VI,92
2020-01-07,VT,1110
2020-01-07,WA,33435
2020-01-07,WI,32225
2020-01-07,WV,2979
2020-01-07,WY,1514
2020-01-08,AK,3138
2020-01-08,AL,90018
2020-01-08,AR,43173
2020-01-08,AS,0
2020-01-08,AZ,177075
2020-01-08,CA,500130
2020-01-08,CO,48336
2020-01-08,CT,49810
2020-01-08,DC,12205
2020-01-08,DE,15420
2020-01-08,FL,477694
2020-01-08,FSM,0
2020-01-08,GA,194466
2020-01-08,GU,356
2020-01-08,HI,2217
2020-01-08,IA,44981
2020-01-08,ID,21114
2020-01-08,IL,181757
2020-01-08,IN,67122
2020-01-08,KS,27812
2020-01-08,KY,34352
2020-01-08,LA,116280
2020-01-08,MA,110077
2020-01-08,MD,89365
2020-01-08,ME,3958
2020-01-08,MI,167533
2020-01-08,MN,55947
2020-01-08,MO,56285
2020-01-08,MP,42
2020-01-08,MS,65487
2020-01-08,MT,4081
2020-01-08,NC,124737
2020-01-08,ND,6660
2020-01-08,NE,26419
2020-01-08,NH,6613
2020-01-08,NJ,184369
2020-01-08,NM,20796
2020-01-08,NV,49306
2020-01-08,NY,190307
2020-01-08,NYC,228827
2020-01-08,OH,92087
2020-01-08,OK,43284
2020-01-08,OR,18817
2020-01-08,PA,117987
2020-01-08,PR,7780
2020-01-08,PW,0
2020-01-08,RI,19065
2020-01-08,RMI,0
2020-01-08,SC,91469
2020-01-08,SD,8867
2020-01-08,TN,104565
2020-01-08,TX,430485
2020-01-08,UT,41380
2020-01-08,VA,91782
2020-01-08,VI,438
2020-01-08,VT,1305
2020-01-08,WA,57595
2020-01-08,WI,58058
2020-01-08,WV,6735
2020-01-08,WY,2769
2020-01-09,AK,5325
2020-01-09,AL,126733
2020-01-09,AR,61497
2020-01-09,AS,0
2020-01-09,AZ,202426
2020-01-09,CA,707797
2020-01-09,CO,58794
2020-01-09,CT,53006
2020-01-09,DC,14049
2020-01-09,DE,17832
2020-01-09,FL,621897
2020-01-09,FSM,0
2020-01-09,GA,283281
2020-01-09,GU,1447
2020-01-09,HI,8961
2020-01-09,IA,65448
2020-01-09,ID,32368
2020-01-09,IL,238217
2020-01-09,IN,94891
2020-01-09,KS,42612
2020-01-09,KY,54733
2020-01-09,LA,149583
2020-01-09,MA,119138
2020-01-09,MD,108863
2020-01-09,ME,4548
2020-01-09,MI,207181
2020-01-09,MN,77085
2020-01-09,MO,92705
2020-01-09,MP,56
2020-01-09,MS,87178
2020-01-09,MT,7689
2020-01-09,NC,171768
2020-01-09,ND,12267
2020-01-09,NE,34670
2020-01-09,NH,7297
2020-01-09,NJ,195843
2020-01-09,NM,25460
2020-01-09,NV,69884
2020-01-09,NY,200968
2020-01-09,NYC,236917
2020-01-09,OH,124610
2020-01-09,OK,64328
2020-01-09,OR,26946
2020-01-09,PA,140556
2020-01-09,PR,16836
2020-01-09,PW,0
2020-01-09,RI,21870
2020-01-09,RMI,0
2020-01-09,SC,123865
2020-01-09,SD,13749
2020-01-09,TN,153378
2020-01-09,TX,617333
2020-01-09,UT,53150
2020-01-09,VA,122542
2020-01-09,VI,1143
2020-01-09,VT,1490
2020-01-09,WA,75521
2020-01-09,WI,81604
2020-01-09,WV,10507
2020-01-09,WY,3866
2020-01-10,AK,8029
2020-01-10,AL,154871
2020-01-10,AR,84821
2020-01-10,AS,0
2020-01-10,AZ,219326
2020-01-10,CA,813687
2020-01-10,CO,72880
2020-01-10,CT,57742
2020-01-10,DC,15358
2020-01-10,DE,21047
2020-01-10,FL,699713
2020-01-10,FSM,0
2020-01-10,GA,337302
2020-01-10,GU,2550
2020-01-10,HI,12566
2020-01-10,IA,90009
2020-01-10,ID,42561
2020-01-10,IL,297929
2020-01-10,IN,121176
2020-01-10,KS,59749
2020-01-10,KY,75286
2020-01-10,LA,168009
2020-01-10,MA,132870
2020-01-10,MD,125510
2020-01-10,ME,5468
2020-01-10,MI,243596
2020-01-10,MN,100200
2020-01-10,MO,139004
2020-01-10,MP,70
2020-01-10,MS,102156
2020-01-10,MT,13824
2020-01-10,NC,212774
2020-01-10,ND,22694
2020-01-10,NE,46293
2020-01-10,NH,8317
2020-01-10,NJ,211299
2020-01-10,NM,29661
2020-01-10,NV,80515
2020-01-10,NY,215457
2020-01-10,NYC,248056
2020-01-10,OH,155314
2020-01-10,OK,95603
2020-01-10,OR,33862
2020-01-10,PA,166146
2020-01-10,PR,26020
2020-01-10,PW,0
2020-01-10,RI,24926
2020-01-10,RMI,0
2020-01-10,SC,149385
2020-01-10,SD,23136
2020-01-10,TN,194520
2020-01-10,TX,752501
2020-01-10,UT,74050
2020-01-10,VA,149687
2020-01-10,VI,1326
2020-01-10,VT,1613
2020-01-10,WA,89540
2020-01-10,WI,132123
2020-01-10,WV,16024
2020-01-10,WY,6083
2020-01-11,AK,15757
2020-01-11,AL,192845
2020-01-11,AR,113057
2020-01-11,AS,0
2020-01-11,AZ,247645
2020-01-11,CA,926534
2020-01-11,CO,113717
2020-01-11,CT,71207
2020-01-11,DC,17369
2020-01-11,DE,25471
2020-01-11,FL,798189
2020-01-11,FSM,0
2020-01-11,GA,390428
2020-01-11,GU,4628
2020-01-11,HI,15075
2020-01-11,IA,130361
2020-01-11,ID,65088
2020-01-11,IL,423539
2020-01-11,IN,182108
2020-01-11,KS,85181
2020-01-11,KY,112105
2020-01-11,LA,187720
2020-01-11,MA,159707
2020-01-11,MD,146145
2020-01-11,ME,6799
2020-01-11,MI,312283
2020-01-11,MN,150672
2020-01-11,MO,204718
2020-01-11,MP,96
2020-01-11,MS,123275
2020-01-11,MT,33495
2020-01-11,NC,276177
2020-01-11,ND,46015
2020-01-11,NE,72581
2020-01-11,NH,11214
2020-01-11,NJ,252102
2020-01-11,NM,47232
2020-01-11,NV,101479
2020-01-11,NY,245580
2020-01-11,NYC,268965
2020-01-11,OH,219000
2020-01-11,OK,135569
2020-01-11,OR,45429
2020-01-11,PA,216803
2020-01-11,PR,37128
2020-01-11,PW,0
2020-01-11,RI,33930
2020-01-11,RMI,1
2020-01-11,SC,178376
2020-01-11,SD,47324
2020-01-11,TN,257469
2020-01-11,TX,972330
2020-01-11,UT,116510
2020-01-11,VA,183419
2020-01-11,VI,1378
2020-01-11,VT,2041
2020-01-11,WA,110911
2020-01-11,WI,241423
2020-01-11,WV,24883
2020-01-11,WY,13723
2020-01-12,AK,32332
2020-01-12,AL,254136
2020-01-12,AR,159309
2020-01-12,AS,3
2020-01-12,AZ,337401
2020-01-12,CA,1225189
2020-01-12,CO,251536
2020-01-12,CT,118754
2020-01-12,DC,21685
2020-01-12,DE,36886
2020-01-12,FL,998887
2020-01-12,FSM,0
2020-01-12,GA,476405
2020-01-12,GU,6920
2020-01-12,HI,17751
2020-01-12,IA,231439
2020-01-12,ID,103305
2020-01-12,IL,738846
2020-01-12,IN,344382
2020-01-12,KS,157446
2020-01-12,KY,189509
2020-01-12,LA,237740
2020-01-12,MA,229205
2020-01-12,MD,201135
2020-01-12,ME,12208
2020-01-12,MI,488716
2020-01-12,MN,322312
2020-01-12,MO,343198
2020-01-12,MP,106
2020-01-12,MS,161007
2020-01-12,MT,63205
2020-01-12,NC,370684
2020-01-12,ND,80135
2020-01-12,NE,129248
2020-01-12,NH,21766
2020-01-12,NJ,373246
2020-01-12,NM,99419
2020-01-12,NV,154867
2020-01-12,NY,340717
2020-01-12,NYC,324863
2020-01-12,OH,430093
2020-01-12,OK,224834
2020-01-12,OR,76654
2020-01-12,PA,375520
2020-01-12,PR,56100
2020-01-12,PW,0
2020-01-12,RI,58010
2020-01-12,RMI,4
2020-01-12,SC,221716
2020-01-12,SD,80912
2020-01-12,TN,371178
2020-01-12,TX,1296972
2020-01-12,UT,198216
2020-01-12,VA,242481
2020-01-12,VI,1550
2020-01-12,VT,4105
2020-01-12,WA,172051
2020-01-12,WI,416365
2020-01-12,WV,48818
2020-01-12,WY,33805
2020-02-02,AK,0
2020-02-02,AL,0
2020-02-02,AR,0
2020-02-02,AS,0
2020-02-02,AZ,1
2020-02-02,CA,3
2020-02-02,CO,0
2020-02-02,CT,0
2020-02-02,DC,0
2020-02-02,DE,0
2020-02-02,FL,0
2020-02-02,FSM,0
2020-02-02,GA,0
2020-02-02,GU,0
2020-02-02,HI,0
2020-02-02,IA,0
2020-02-02,ID,0
2020-02-02,IL,2
2020-02-02,IN,0
2020-02-02,KS,0
2020-02-02,KY,0
2020-02-02,LA,0
2020-02-02,MA,1
2020-02-02,MD,0
2020-02-02,ME,0
2020-02-02,MI,0
2020-02-02,MN,0
2020-02-02,MO,0
2020-02-02,MP,0
2020-02-02,MS,0
2020-02-02,MT,0
2020-02-02,NC,0
2020-02-02,ND,0
2020-02-02,NE,0
2020-02-02,NH,0
2020-02-02,NJ,0
2020-02-02,NM,0
2020-02-02,NV,0
2020-02-02,NY,0
2020-02-02,NYC,0
2020-02-02,OH,0
2020-02-02,OK,0
2020-02-02,OR,0
2020-02-02,PA,0
2020-02-02,PR,0
2020-02-02,PW,0
2020-02-02,RI,0
2020-02-02,RMI,0
2020-02-02,SC,0
2020-02-02,SD,0
2020-02-02,TN,0
2020-02-02,TX,0
2020-02-02,UT,0
2020-02-02,VA,0
2020-02-02,VI,0
2020-02-02,VT,0
2020-02-02,WA,1
2020-02-02,WI,0
2020-02-02,WV,0
2020-02-02,WY,0
2020-02-03,AK,0
2020-02-03,AL,0
2020-02-03,AR,0
2020-02-03,AS,0
2020-02-03,AZ,1
2020-02-03,CA,39
2020-02-03,CO,1
2020-02-03,CT,0
2020-02-03,DC,0
2020-02-03,DE,0
2020-02-03,FL,2
2020-02-03,FSM,0
2020-02-03,GA,3
2020-02-03,GU,0
2020-02-03,HI,0
2020-02-03,IA,0
2020-02-03,ID,0
2020-02-03,IL,4
2020-02-03,IN,0
2020-02-03,KS,0
2020-02-03,KY,0
2020-02-03,LA,0
2020-02-03,MA,1
2020-02-03,MD,0
2020-02-03,ME,0
2020-02-03,MI,27
2020-02-03,MN,0
2020-02-03,MO,0
2020-02-03,MP,0
2020-02-03,MS,0
2020-02-03,MT,0
2020-02-03,NC,0
2020-02-03,ND,0
2020-02-03,NE,0
2020-02-03,NH,1
2020-02-03,NJ,0
2020-02-03,NM,0
2020-02-03,NV,0
2020-02-03,NY,0
2020-02-03,NYC,1
2020-02-03,OH,0
2020-02-03,OK,39
2020-02-03,OR,3
2020-02-03,PA,0
2020-02-03,PR,0
2020-02-03,PW,0
2020-02-03,RI,1
2020-02-03,RMI,0
2020-02-03,SC,0
2020-02-03,SD,0
2020-02-03,TN,0
2020-02-03,TX,0
2020-02-03,UT,0
2020-02-03,VA,0
2020-02-03,VI,0
2020-02-03,VT,0
2020-02-03,WA,1
2020-02-03,WI,0
2020-02-03,WV,0
2020-02-03,WY,0
2020-02-04,AK,149
2020-02-04,AL,1364
2020-02-04,AR,679
2020-02-04,AS,0
2020-02-04,AZ,1598
2020-02-04,CA,9191
2020-02-04,CO,3725
2020-02-04,CT,3824
2020-02-04,DC,653
2020-02-04,DE,483
2020-02-04,FL,8816
2020-02-04,FSM,0
2020-02-04,GA,5443
2020-02-04,GU,82
2020-02-04,HI,350
2020-02-04,IA,614
2020-02-04,ID,891
2020-02-04,IL,7695
2020-02-04,IN,3039
2020-02-04,KS,552
2020-02-04,KY,952
2020-02-04,LA,9150
2020-02-04,MA,8966
2020-02-04,MD,2331
2020-02-04,ME,376
2020-02-04,MI,22811
2020-02-04,MN,789
2020-02-04,MO,3088
2020-02-04,MP,6
2020-02-04,MS,2550
2020-02-04,MT,244
2020-02-04,NC,1853
2020-02-04,ND,159
2020-02-04,NE,269
2020-02-04,NH,479
2020-02-04,NJ,25590
2020-02-04,NM,403
2020-02-04,NV,1458
2020-02-04,NY,40572
2020-02-04,NYC,65628
2020-02-04,OH,2902
2020-02-04,OK,1853
2020-02-04,OR,826
2020-02-04,PA,7084
2020-02-04,PR,191
2020-02-04,PW,0
2020-02-04,RI,682
2020-02-04,RMI,0
2020-02-04,SC,1358
2020-02-04,SD,165
2020-02-04,TN,2625
2020-02-04,TX,4665
2020-02-04,UT,1165
2020-02-04,VA,2012
2020-02-04,VI,37
2020-02-04,VT,338
2020-02-04,WA,6233
2020-02-04,WI,1730
2020-02-04,WV,217
2020-02-04,WY,150
2020-02-05,AK,365
2020-02-05,AL,7685
2020-02-05,AR,3372
2020-02-05,AS,0
2020-02-05,AZ,8364
2020-02-05,CA,52197
2020-02-05,CO,16762
2020-02-05,CT,29287
2020-02-05,DC,4797
2020-02-05,DE,5328
2020-02-05,FL,34833
2020-02-05,FSM,0
2020-02-05,GA,26557
2020-02-05,GU,148
2020-02-05,HI,610
2020-02-05,IA,8641
2020-02-05,ID,2061
2020-02-05,IL,58505
2020-02-05,IN,19295
2020-02-05,KS,4746
2020-02-05,KY,5265
2020-02-05,LA,29140
2020-02-05,MA,66263
2020-02-05,MD,24473
2020-02-05,ME,1152
2020-02-05,MI,56292
2020-02-05,MN,6228
2020-02-05,MO,9056
2020-02-05,MP,14
2020-02-05,MS,8937
2020-02-05,MT,455
2020-02-05,NC,11583
2020-02-05,ND,1153
2020-02-05,NE,5288
2020-02-05,NH,2429
2020-02-05,NJ,123736
2020-02-05,NM,3732
2020-02-05,NV,5311
2020-02-05,NY,140623
2020-02-05,NYC,178594
2020-02-05,OH,19335
2020-02-05,OK,4670
2020-02-05,OR,2635
2020-02-05,PA,51000
2020-02-05,PR,853
2020-02-05,PW,0
2020-02-05,RI,9351
2020-02-05,RMI,0
2020-02-05,SC,6350
2020-02-05,SD,2588
2020-02-05,TN,12577
2020-02-05,TX,30522
2020-02-05,UT,4981
2020-02-05,VA,17731
2020-02-05,VI,66
2020-02-05,VT,813
2020-02-05,WA,15082
2020-02-05,WI,7660
2020-02-05,WV,1184
2020-02-05,WY,579
2020-02-06,AK,490
2020-02-06,AL,18709
2020-02-06,AR,7818
2020-02-06,AS,0
2020-02-06,AZ,21250
2020-02-06,CA,115310
2020-02-06,CO,27127
2020-02-06,CT,42979
2020-02-06,DC,8886
2020-02-06,DE,9845
2020-02-06,FL,56995
2020-02-06,FSM,0
2020-02-06,GA,47079
2020-02-06,GU,177
2020-02-06,HI,646
2020-02-06,IA,20015
2020-02-06,ID,2933
2020-02-06,IL,122848
2020-02-06,IN,35237
2020-02-06,KS,10011
2020-02-06,KY,10671
2020-02-06,LA,40857
2020-02-06,MA,97539
2020-02-06,MD,54175
2020-02-06,ME,2418
2020-02-06,MI,100065
2020-02-06,MN,25508
2020-02-06,MO,14577
2020-02-06,MP,22
2020-02-06,MS,18145
2020-02-06,MT,525
2020-02-06,NC,30091
2020-02-06,ND,2646
2020-02-06,NE,14557
2020-02-06,NH,4749
2020-02-06,NJ,161951
2020-02-06,NM,8024
2020-02-06,NV,8830
2020-02-06,NY,168663
2020-02-06,NYC,207448
2020-02-06,OH,36413
2020-02-06,OK,7685
2020-02-06,OR,4335
2020-02-06,PA,76950
2020-02-06,PR,1342
2020-02-06,PW,0
2020-02-06,RI,15017
2020-02-06,RMI,0
2020-02-06,SC,12685
2020-02-06,SD,5067
2020-02-06,TN,23879
2020-02-06,TX,66568
2020-02-06,UT,10353
2020-02-06,VA,46905
2020-02-06,VI,70
2020-02-06,VT,907
2020-02-06,WA,22237
2020-02-06,WI,18917
2020-02-06,WV,2056
2020-02-06,WY,912
2020-02-07,AK,1020
2020-02-07,AL,41272
2020-02-07,AR,22075
2020-02-07,AS,0
2020-02-07,AZ,87448
2020-02-07,CA,240195
2020-02-07,CO,33861
2020-02-07,CT,46646
2020-02-07,DC,10390
2020-02-07,DE,12072
2020-02-07,FL,174720
2020-02-07,FSM,0
2020-02-07,GA,88233
2020-02-07,GU,286
2020-02-07,HI,956
2020-02-07,IA,30209
2020-02-07,ID,6593
2020-02-07,IL,145066
2020-02-07,IN,46387
2020-02-07,KS,14990
2020-02-07,KY,17380
2020-02-07,LA,61561
2020-02-07,MA,104016
2020-02-07,MD,68423
2020-02-07,ME,3328
2020-02-07,MI,128230
2020-02-07,MN,37624
2020-02-07,MO,27251
2020-02-07,MP,30
2020-02-07,MS,34414
2020-02-07,MT,1123
2020-02-07,NC,68414
2020-02-07,ND,3657
2020-02-07,NE,19412
2020-02-07,NH,5822
2020-02-07,NJ,173456
2020-02-07,NM,12520
2020-02-07,NV,19964
2020-02-07,NY,179052
2020-02-07,NYC,218736
2020-02-07,OH,54166
2020-02-07,OK,20704
2020-02-07,OR,9294
2020-02-07,PA,92561
2020-02-07,PR,2199
2020-02-07,PW,0
2020-02-07,RI,16853
2020-02-07,RMI,0
2020-02-07,SC,39307
2020-02-07,SD,6893
2020-02-07,TN,45119
2020-02-07,TX,175977
2020-02-07,UT,23921
2020-02-07,VA,63735
2020-02-07,VI,98
2020-02-07,VT,1125
2020-02-07,WA,34146
2020-02-07,WI,32809
2020-02-07,WV,3053
2020-02-07,WY,1550
2020-02-08,AK,3274
2020-02-08,AL,91170
2020-02-08,AR,43810
2020-02-08,AS,0
2020-02-08,AZ,178521
2020-02-08,CA,509162
2020-02-08,CO,48769
2020-02-08,CT,49810
2020-02-08,DC,12274
2020-02-08,DE,15530
2020-02-08,FL,482483
2020-02-08,FSM,0
2020-02-08,GA,197628
2020-02-08,GU,368
2020-02-08,HI,2424
2020-02-08,IA,45492
2020-02-08,ID,21344
2020-02-08,IL,183224
2020-02-08,IN,67857
2020-02-08,KS,27812
2020-02-08,KY,34749
2020-02-08,LA,119747
2020-02-08,MA,110430
2020-02-08,MD,90274
2020-02-08,ME,3970
2020-02-08,MI,168325
2020-02-08,MN,55947
2020-02-08,MO,56832
2020-02-08,MP,44
2020-02-08,MS,66008
2020-02-08,MT,4193
2020-02-08,NC,126125
2020-02-08,ND,6785
2020-02-08,NE,26695
2020-02-08,NH,6634
2020-02-08,NJ,184719
2020-02-08,NM,21016
2020-02-08,NV,50437
2020-02-08,NY,190575
2020-02-08,NYC,229113
2020-02-08,OH,93031
2020-02-08,OK,43685
2020-02-08,OR,19097
2020-02-08,PA,118642
2020-02-08,PR,8088
2020-02-08,PW,0
2020-02-08,RI,19148
2020-02-08,RMI,0
2020-02-08,SC,93092
2020-02-08,SD,8955
2020-02-08,TN,106717
2020-02-08,TX,436711
2020-02-08,UT,41759
2020-02-08,VA,93106
2020-02-08,VI,438
2020-02-08,VT,1308
2020-02-08,WA,58225
2020-02-08,WI,58990
2020-02-08,WV,6854
2020-02-08,WY,2808
2020-02-09,AK,5390
2020-02-09,AL,127739
2020-02-09,AR,62112
2020-02-09,AS,0
2020-02-09,AZ,202946
2020-02-09,CA,712052
2020-02-09,CO,59028
2020-02-09,CT,53108
2020-02-09,DC,14077
2020-02-09,DE,17944
2020-02-09,FL,625469
2020-02-09,FSM,0
2020-02-09,GA,285667
2020-02-09,GU,1560
2020-02-09,HI,9169
2020-02-09,IA,66266
2020-02-09,ID,32664
2020-02-09,IL,240345
